,d,sales,tm_w_end,tm_dw,tm_wm,tm_m,tm_w,sell_price,snap_count,is_event,date
97,98,22.0,0,4,1,5,18,3.009212,3,0,2011-05-06
98,99,21.0,1,5,1,5,18,3.009212,2,0,2011-05-07
99,100,11.0,1,6,2,5,18,3.009212,2,1,2011-05-08
100,101,15.0,0,0,2,5,19,3.009212,3,0,2011-05-09
101,102,19.0,0,1,2,5,19,3.009212,1,0,2011-05-10
102,103,28.0,0,2,2,5,19,3.009212,2,0,2011-05-11
103,104,28.0,0,3,2,5,19,3.009212,2,0,2011-05-12
104,105,22.0,0,4,2,5,19,3.009212,1,0,2011-05-13
105,106,38.0,1,5,2,5,19,3.009212,1,0,2011-05-14
106,107,41.0,1,6,3,5,19,3.009212,2,0,2011-05-15
107,108,36.0,0,0,3,5,20,3.009212,0,0,2011-05-16
108,109,16.0,0,1,3,5,20,3.009212,0,0,2011-05-17
109,110,35.0,0,2,3,5,20,3.009212,0,0,2011-05-18
110,111,31.0,0,3,3,5,20,3.009212,0,0,2011-05-19
111,112,10.0,0,4,3,5,20,3.009212,0,0,2011-05-20
112,113,24.0,1,5,3,5,20,2.94762,0,0,2011-05-21
113,114,11.0,1,6,4,5,20,2.94762,0,0,2011-05-22
114,115,8.0,0,0,4,5,21,2.94762,0,0,2011-05-23
115,116,38.0,0,1,4,5,21,2.94762,0,0,2011-05-24
116,117,20.0,0,2,4,5,21,2.94762,0,0,2011-05-25
117,118,33.0,0,3,4,5,21,2.94762,0,0,2011-05-26
118,119,15.0,0,4,4,5,21,2.94762,0,0,2011-05-27
119,120,12.0,1,5,4,5,21,2.9081516,0,0,2011-05-28
120,121,25.0,1,6,5,5,21,2.9081516,0,0,2011-05-29
121,122,19.0,0,0,5,5,22,2.9081516,0,1,2011-05-30
122,123,19.0,0,1,5,5,22,2.9081516,0,1,2011-05-31
123,124,23.0,0,2,1,6,22,2.9081516,2,0,2011-06-01
124,125,22.0,0,3,1,6,22,2.9081516,2,0,2011-06-02
125,126,20.0,0,4,1,6,22,2.9081516,3,0,2011-06-03
126,127,33.0,1,5,1,6,22,2.8714685,1,0,2011-06-04
127,128,21.0,1,6,1,6,22,2.8714685,3,0,2011-06-05
128,129,18.0,0,0,1,6,23,2.8714685,3,0,2011-06-06
129,130,11.0,0,1,1,6,23,2.8714685,2,0,2011-06-07
130,131,15.0,0,2,2,6,23,2.8714685,2,0,2011-06-08
131,132,25.0,0,3,2,6,23,2.8714685,3,0,2011-06-09
132,133,16.0,0,4,2,6,23,2.8714685,1,0,2011-06-10
133,134,10.0,1,5,2,6,23,2.8686626,2,0,2011-06-11
134,135,8.0,1,6,2,6,23,2.8686626,2,1,2011-06-12
135,136,27.0,0,0,2,6,24,2.8686626,1,0,2011-06-13
136,137,11.0,0,1,2,6,24,2.8686626,1,0,2011-06-14
137,138,13.0,0,2,3,6,24,2.8686626,2,0,2011-06-15
138,139,17.0,0,3,3,6,24,2.8686626,0,0,2011-06-16
139,140,9.0,0,4,3,6,24,2.8686626,0,0,2011-06-17
140,141,33.0,1,5,3,6,24,2.8578174,0,0,2011-06-18
141,142,50.0,1,6,3,6,24,2.8578174,0,1,2011-06-19
142,143,19.0,0,0,3,6,25,2.8578174,0,0,2011-06-20
143,144,29.0,0,1,3,6,25,2.8578174,0,0,2011-06-21
144,145,25.0,0,2,4,6,25,2.8578174,0,0,2011-06-22
145,146,20.0,0,3,4,6,25,2.8578174,0,0,2011-06-23
146,147,17.0,0,4,4,6,25,2.8578174,0,0,2011-06-24
147,148,15.0,1,5,4,6,25,2.852178,0,0,2011-06-25
148,149,24.0,1,6,4,6,25,2.852178,0,0,2011-06-26
149,150,16.0,0,0,4,6,26,2.852178,0,0,2011-06-27
150,151,12.0,0,1,4,6,26,2.852178,0,0,2011-06-28
151,152,19.0,0,2,5,6,26,2.852178,0,0,2011-06-29
152,153,21.0,0,3,5,6,26,2.852178,0,0,2011-06-30
153,154,20.0,0,4,1,7,26,2.852178,2,0,2011-07-01
154,155,21.0,1,5,1,7,26,2.848399,2,0,2011-07-02
155,156,26.0,1,6,1,7,26,2.848399,3,0,2011-07-03
156,157,22.0,0,0,1,7,27,2.848399,1,1,2011-07-04
157,158,30.0,0,1,1,7,27,2.848399,3,0,2011-07-05
158,159,19.0,0,2,1,7,27,2.848399,3,0,2011-07-06
159,160,15.0,0,3,1,7,27,2.848399,2,0,2011-07-07
160,161,18.0,0,4,2,7,27,2.848399,2,0,2011-07-08
161,162,18.0,1,5,2,7,27,2.8222623,3,0,2011-07-09
162,163,30.0,1,6,2,7,27,2.8222623,1,0,2011-07-10
163,164,11.0,0,0,2,7,28,2.8222623,2,0,2011-07-11
164,165,30.0,0,1,2,7,28,2.8222623,2,0,2011-07-12
165,166,10.0,0,2,2,7,28,2.8222623,1,0,2011-07-13
166,167,13.0,0,3,2,7,28,2.8222623,1,0,2011-07-14
167,168,24.0,0,4,3,7,28,2.8222623,2,0,2011-07-15
168,169,16.0,1,5,3,7,28,2.831025,0,0,2011-07-16
169,170,24.0,1,6,3,7,28,2.831025,0,0,2011-07-17
170,171,30.0,0,0,3,7,29,2.831025,0,0,2011-07-18
171,172,15.0,0,1,3,7,29,2.831025,0,0,2011-07-19
172,173,35.0,0,2,3,7,29,2.831025,0,0,2011-07-20
173,174,33.0,0,3,3,7,29,2.831025,0,0,2011-07-21
174,175,33.0,0,4,4,7,29,2.831025,0,0,2011-07-22
175,176,20.0,1,5,4,7,29,2.831025,0,0,2011-07-23
176,177,12.0,1,6,4,7,29,2.831025,0,0,2011-07-24
177,178,21.0,0,0,4,7,30,2.831025,0,0,2011-07-25
178,179,20.0,0,1,4,7,30,2.831025,0,0,2011-07-26
179,180,18.0,0,2,4,7,30,2.831025,0,0,2011-07-27
180,181,16.0,0,3,4,7,30,2.831025,0,0,2011-07-28
181,182,17.0,0,4,5,7,30,2.831025,0,0,2011-07-29
182,183,43.0,1,5,5,7,30,2.831025,0,0,2011-07-30
183,184,15.0,1,6,5,7,30,2.831025,0,0,2011-07-31
184,185,10.0,0,0,1,8,31,2.831025,2,1,2011-08-01
185,186,20.0,0,1,1,8,31,2.831025,2,0,2011-08-02
186,187,21.0,0,2,1,8,31,2.831025,3,0,2011-08-03
187,188,13.0,0,3,1,8,31,2.831025,1,0,2011-08-04
188,189,16.0,0,4,1,8,31,2.831025,3,0,2011-08-05
189,190,21.0,1,5,1,8,31,2.8449345,3,0,2011-08-06
190,191,18.0,1,6,1,8,31,2.8449345,2,0,2011-08-07
191,192,29.0,0,0,2,8,32,2.8449345,2,0,2011-08-08
192,193,18.0,0,1,2,8,32,2.8449345,3,0,2011-08-09
193,194,31.0,0,2,2,8,32,2.8449345,1,0,2011-08-10
194,195,23.0,0,3,2,8,32,2.8449345,2,0,2011-08-11
195,196,17.0,0,4,2,8,32,2.8449345,2,0,2011-08-12
196,197,28.0,1,5,2,8,32,2.8449345,1,0,2011-08-13
197,198,27.0,1,6,2,8,32,2.8449345,1,0,2011-08-14
198,199,15.0,0,0,3,8,33,2.8449345,2,0,2011-08-15
199,200,20.0,0,1,3,8,33,2.8449345,0,0,2011-08-16
200,201,17.0,0,2,3,8,33,2.8449345,0,0,2011-08-17
201,202,15.0,0,3,3,8,33,2.8449345,0,0,2011-08-18
202,203,24.0,0,4,3,8,33,2.8449345,0,0,2011-08-19
203,204,46.0,1,5,3,8,33,2.8449345,0,0,2011-08-20
204,205,24.0,1,6,3,8,33,2.8449345,0,0,2011-08-21
205,206,17.0,0,0,4,8,34,2.8449345,0,0,2011-08-22
206,207,21.0,0,1,4,8,34,2.8449345,0,0,2011-08-23
207,208,22.0,0,2,4,8,34,2.8449345,0,0,2011-08-24
208,209,9.0,0,3,4,8,34,2.8449345,0,0,2011-08-25
209,210,16.0,0,4,4,8,34,2.8449345,0,0,2011-08-26
210,211,17.0,1,5,4,8,34,2.8516912,0,0,2011-08-27
211,212,20.0,1,6,4,8,34,2.8516912,0,0,2011-08-28
212,213,15.0,0,0,5,8,35,2.8516912,0,0,2011-08-29
213,214,21.0,0,1,5,8,35,2.8516912,0,0,2011-08-30
214,215,12.0,0,2,5,8,35,2.8516912,0,1,2011-08-31
215,216,21.0,0,3,1,9,35,2.8516912,2,0,2011-09-01
216,217,18.0,0,4,1,9,35,2.8516912,2,0,2011-09-02
217,218,16.0,1,5,1,9,35,2.8516912,3,0,2011-09-03
218,219,16.0,1,6,1,9,35,2.8516912,1,0,2011-09-04
219,220,14.0,0,0,1,9,36,2.8516912,3,1,2011-09-05
220,221,10.0,0,1,1,9,36,2.8516912,3,0,2011-09-06
221,222,28.0,0,2,1,9,36,2.8516912,2,0,2011-09-07
222,223,27.0,0,3,2,9,36,2.8516912,2,0,2011-09-08
223,224,29.0,0,4,2,9,36,2.8516912,3,0,2011-09-09
224,225,19.0,1,5,2,9,36,2.8516912,1,0,2011-09-10
225,226,30.0,1,6,2,9,36,2.8516912,2,0,2011-09-11
226,227,13.0,0,0,2,9,37,2.8516912,2,0,2011-09-12
227,228,23.0,0,1,2,9,37,2.8516912,1,0,2011-09-13
228,229,32.0,0,2,2,9,37,2.8516912,1,0,2011-09-14
229,230,16.0,0,3,3,9,37,2.8516912,2,0,2011-09-15
230,231,19.0,0,4,3,9,37,2.8516912,0,0,2011-09-16
231,232,31.0,1,5,3,9,37,2.8516912,0,0,2011-09-17
232,233,38.0,1,6,3,9,37,2.8516912,0,0,2011-09-18
233,234,34.0,0,0,3,9,38,2.8516912,0,0,2011-09-19
234,235,33.0,0,1,3,9,38,2.8516912,0,0,2011-09-20
235,236,34.0,0,2,3,9,38,2.8516912,0,0,2011-09-21
236,237,26.0,0,3,4,9,38,2.8516912,0,0,2011-09-22
237,238,28.0,0,4,4,9,38,2.8516912,0,0,2011-09-23
238,239,22.0,1,5,4,9,38,2.8516912,0,0,2011-09-24
239,240,23.0,1,6,4,9,38,2.8516912,0,0,2011-09-25
240,241,28.0,0,0,4,9,39,2.8516912,0,0,2011-09-26
241,242,22.0,0,1,4,9,39,2.8516912,0,0,2011-09-27
242,243,23.0,0,2,4,9,39,2.8516912,0,0,2011-09-28
243,244,48.0,0,3,5,9,39,2.8516912,0,0,2011-09-29
244,245,16.0,0,4,5,9,39,2.8516912,0,0,2011-09-30
245,246,27.0,1,5,1,10,39,2.8743632,2,0,2011-10-01
246,247,10.0,1,6,1,10,39,2.8743632,2,0,2011-10-02
247,248,25.0,0,0,1,10,40,2.8743632,3,0,2011-10-03
248,249,13.0,0,1,1,10,40,2.8743632,1,0,2011-10-04
249,250,42.0,0,2,1,10,40,2.8743632,3,0,2011-10-05
250,251,49.0,0,3,1,10,40,2.8743632,3,0,2011-10-06
251,252,24.0,0,4,1,10,40,2.8743632,2,0,2011-10-07
252,253,34.0,1,5,2,10,40,2.8743632,2,0,2011-10-08
253,254,45.0,1,6,2,10,40,2.8743632,3,0,2011-10-09
254,255,33.0,0,0,2,10,41,2.8743632,1,1,2011-10-10
255,256,41.0,0,1,2,10,41,2.8743632,2,0,2011-10-11
256,257,35.0,0,2,2,10,41,2.8743632,2,0,2011-10-12
257,258,26.0,0,3,2,10,41,2.8743632,1,0,2011-10-13
258,259,37.0,0,4,2,10,41,2.8743632,1,0,2011-10-14
259,260,33.0,1,5,3,10,41,2.8811333,2,0,2011-10-15
260,261,17.0,1,6,3,10,41,2.8811333,0,0,2011-10-16
261,262,32.0,0,0,3,10,42,2.8811333,0,0,2011-10-17
262,263,63.0,0,1,3,10,42,2.8811333,0,0,2011-10-18
263,264,20.0,0,2,3,10,42,2.8811333,0,0,2011-10-19
264,265,24.0,0,3,3,10,42,2.8811333,0,0,2011-10-20
265,266,25.0,0,4,3,10,42,2.8811333,0,0,2011-10-21
266,267,33.0,1,5,4,10,42,2.875661,0,0,2011-10-22
267,268,21.0,1,6,4,10,42,2.875661,0,0,2011-10-23
268,269,33.0,0,0,4,10,43,2.875661,0,0,2011-10-24
269,270,42.0,0,1,4,10,43,2.875661,0,0,2011-10-25
270,271,63.0,0,2,4,10,43,2.875661,0,0,2011-10-26
271,272,58.0,0,3,4,10,43,2.875661,0,0,2011-10-27
272,273,27.0,0,4,4,10,43,2.875661,0,0,2011-10-28
273,274,38.0,1,5,5,10,43,2.8687208,0,0,2011-10-29
274,275,43.0,1,6,5,10,43,2.8687208,0,0,2011-10-30
275,276,14.0,0,0,5,10,44,2.8687208,0,1,2011-10-31
276,277,15.0,0,1,1,11,44,2.8687208,2,0,2011-11-01
277,278,42.0,0,2,1,11,44,2.8687208,2,0,2011-11-02
278,279,27.0,0,3,1,11,44,2.8687208,3,0,2011-11-03
279,280,21.0,0,4,1,11,44,2.8687208,1,0,2011-11-04
280,281,49.0,1,5,1,11,44,2.8689942,3,0,2011-11-05
281,282,33.0,1,6,1,11,44,2.8689942,3,0,2011-11-06
282,283,25.0,0,0,1,11,45,2.8689942,2,1,2011-11-07
283,284,34.0,0,1,2,11,45,2.8689942,2,0,2011-11-08
284,285,34.0,0,2,2,11,45,2.8689942,3,0,2011-11-09
285,286,22.0,0,3,2,11,45,2.8689942,1,0,2011-11-10
286,287,28.0,0,4,2,11,45,2.8689942,2,1,2011-11-11
287,288,35.0,1,5,2,11,45,2.8689942,2,0,2011-11-12
288,289,34.0,1,6,2,11,45,2.8689942,1,0,2011-11-13
289,290,27.0,0,0,2,11,46,2.8689942,1,0,2011-11-14
290,291,23.0,0,1,3,11,46,2.8689942,2,0,2011-11-15
291,292,36.0,0,2,3,11,46,2.8689942,0,0,2011-11-16
292,293,37.0,0,3,3,11,46,2.8689942,0,0,2011-11-17
293,294,29.0,0,4,3,11,46,2.8689942,0,0,2011-11-18
294,295,20.0,1,5,3,11,46,2.8689942,0,0,2011-11-19
295,296,36.0,1,6,3,11,46,2.8689942,0,0,2011-11-20
296,297,13.0,0,0,3,11,47,2.8689942,0,0,2011-11-21
297,298,21.0,0,1,4,11,47,2.8689942,0,0,2011-11-22
298,299,20.0,0,2,4,11,47,2.8689942,0,0,2011-11-23
299,300,10.0,0,3,4,11,47,2.8689942,0,1,2011-11-24
300,301,22.0,0,4,4,11,47,2.8689942,0,0,2011-11-25
301,302,32.0,1,5,4,11,47,2.8689942,0,0,2011-11-26
302,303,34.0,1,6,4,11,47,2.8689942,0,0,2011-11-27
303,304,34.0,0,0,4,11,48,2.8689942,0,0,2011-11-28
304,305,40.0,0,1,5,11,48,2.8689942,0,0,2011-11-29
305,306,51.0,0,2,5,11,48,2.8689942,0,0,2011-11-30
306,307,37.0,0,3,1,12,48,2.8689942,2,0,2011-12-01
307,308,26.0,0,4,1,12,48,2.8689942,2,0,2011-12-02
308,309,42.0,1,5,1,12,48,2.8689942,3,0,2011-12-03
309,310,60.0,1,6,1,12,48,2.8689942,1,0,2011-12-04
310,311,22.0,0,0,1,12,49,2.8689942,3,0,2011-12-05
311,312,34.0,0,1,1,12,49,2.8689942,3,0,2011-12-06
312,313,35.0,0,2,1,12,49,2.8689942,2,0,2011-12-07
313,314,36.0,0,3,2,12,49,2.8689942,2,0,2011-12-08
314,315,22.0,0,4,2,12,49,2.8689942,3,0,2011-12-09
315,316,23.0,1,5,2,12,49,2.8689942,1,0,2011-12-10
316,317,40.0,1,6,2,12,49,2.8689942,2,0,2011-12-11
317,318,45.0,0,0,2,12,50,2.8689942,2,0,2011-12-12
318,319,22.0,0,1,2,12,50,2.8689942,1,0,2011-12-13
319,320,56.0,0,2,2,12,50,2.8689942,1,0,2011-12-14
320,321,29.0,0,3,3,12,50,2.8689942,2,0,2011-12-15
321,322,25.0,0,4,3,12,50,2.8689942,0,0,2011-12-16
322,323,20.0,1,5,3,12,50,2.8811295,0,0,2011-12-17
323,324,9.0,1,6,3,12,50,2.8811295,0,0,2011-12-18
324,325,13.0,0,0,3,12,51,2.8811295,0,0,2011-12-19
325,326,11.0,0,1,3,12,51,2.8811295,0,0,2011-12-20
326,327,10.0,0,2,3,12,51,2.8811295,0,0,2011-12-21
327,328,19.0,0,3,4,12,51,2.8811295,0,0,2011-12-22
328,329,18.0,0,4,4,12,51,2.8811295,0,0,2011-12-23
329,330,11.0,1,5,4,12,51,2.8811295,0,0,2011-12-24
330,331,0.0,1,6,4,12,51,2.8811295,0,1,2011-12-25
331,332,19.0,0,0,4,12,52,2.8811295,0,0,2011-12-26
332,333,5.0,0,1,4,12,52,2.8811295,0,0,2011-12-27
333,334,25.0,0,2,4,12,52,2.8811295,0,1,2011-12-28
334,335,10.0,0,3,5,12,52,2.8811295,0,0,2011-12-29
335,336,20.0,0,4,5,12,52,2.8811295,0,0,2011-12-30
336,337,15.0,1,5,5,12,52,2.885778,0,0,2011-12-31
337,338,6.0,1,6,1,1,52,2.885778,2,1,2012-01-01
338,339,29.0,0,0,1,1,1,2.885778,2,0,2012-01-02
339,340,22.0,0,1,1,1,1,2.885778,3,0,2012-01-03
340,341,7.0,0,2,1,1,1,2.885778,1,0,2012-01-04
341,342,13.0,0,3,1,1,1,2.885778,3,0,2012-01-05
342,343,2.0,0,4,1,1,1,2.885778,3,0,2012-01-06
343,344,16.0,1,5,1,1,1,2.8537729,2,1,2012-01-07
344,345,9.0,1,6,2,1,1,2.8537729,2,0,2012-01-08
345,346,7.0,0,0,2,1,2,2.8537729,3,0,2012-01-09
346,347,4.0,0,1,2,1,2,2.8537729,1,0,2012-01-10
347,348,18.0,0,2,2,1,2,2.8537729,2,0,2012-01-11
348,349,7.0,0,3,2,1,2,2.8537729,2,0,2012-01-12
349,350,31.0,0,4,2,1,2,2.8537729,1,0,2012-01-13
350,351,23.0,1,5,2,1,2,2.8937469,1,0,2012-01-14
351,352,10.0,1,6,3,1,2,2.8937469,2,0,2012-01-15
352,353,37.0,0,0,3,1,3,2.8937469,0,1,2012-01-16
353,354,26.0,0,1,3,1,3,2.8937469,0,0,2012-01-17
354,355,15.0,0,2,3,1,3,2.8937469,0,0,2012-01-18
355,356,18.0,0,3,3,1,3,2.8937469,0,0,2012-01-19
356,357,4.0,0,4,3,1,3,2.8937469,0,0,2012-01-20
357,358,45.0,1,5,3,1,3,2.9136555,0,0,2012-01-21
358,359,36.0,1,6,4,1,3,2.9136555,0,0,2012-01-22
359,360,32.0,0,0,4,1,4,2.9136555,0,0,2012-01-23
360,361,17.0,0,1,4,1,4,2.9136555,0,0,2012-01-24
361,362,29.0,0,2,4,1,4,2.9136555,0,0,2012-01-25
362,363,24.0,0,3,4,1,4,2.9136555,0,0,2012-01-26
363,364,28.0,0,4,4,1,4,2.9136555,0,0,2012-01-27
364,365,48.0,1,5,4,1,4,2.9136555,0,0,2012-01-28
365,366,70.0,1,6,5,1,4,2.9136555,0,0,2012-01-29
366,367,54.0,0,0,5,1,5,2.9136555,0,0,2012-01-30
367,368,23.0,0,1,5,1,5,2.9136555,0,0,2012-01-31
368,369,35.0,0,2,1,2,5,2.9136555,2,0,2012-02-01
369,370,32.0,0,3,1,2,5,2.9136555,2,0,2012-02-02
370,371,14.0,0,4,1,2,5,2.9136555,3,0,2012-02-03
371,372,35.0,1,5,1,2,5,2.9103222,1,0,2012-02-04
372,373,33.0,1,6,1,2,5,2.9103222,3,1,2012-02-05
373,374,23.0,0,0,1,2,6,2.9103222,3,0,2012-02-06
374,375,26.0,0,1,1,2,6,2.9103222,2,0,2012-02-07
375,376,24.0,0,2,2,2,6,2.9103222,2,0,2012-02-08
376,377,21.0,0,3,2,2,6,2.9103222,3,0,2012-02-09
377,378,19.0,0,4,2,2,6,2.9103222,1,0,2012-02-10
378,379,27.0,1,5,2,2,6,2.9149837,2,0,2012-02-11
379,380,34.0,1,6,2,2,6,2.9149837,2,0,2012-02-12
380,381,44.0,0,0,2,2,7,2.9149837,1,0,2012-02-13
381,382,33.0,0,1,2,2,7,2.9149837,1,1,2012-02-14
382,383,15.0,0,2,3,2,7,2.9149837,2,0,2012-02-15
383,384,19.0,0,3,3,2,7,2.9149837,0,0,2012-02-16
384,385,20.0,0,4,3,2,7,2.9149837,0,0,2012-02-17
385,386,37.0,1,5,3,2,7,2.9149837,0,0,2012-02-18
386,387,39.0,1,6,3,2,7,2.9149837,0,0,2012-02-19
387,388,23.0,0,0,3,2,8,2.9149837,0,1,2012-02-20
388,389,26.0,0,1,3,2,8,2.9149837,0,0,2012-02-21
389,390,25.0,0,2,4,2,8,2.9149837,0,1,2012-02-22
390,391,22.0,0,3,4,2,8,2.9149837,0,0,2012-02-23
391,392,16.0,0,4,4,2,8,2.9149837,0,0,2012-02-24
392,393,27.0,1,5,4,2,8,2.9149837,0,0,2012-02-25
393,394,30.0,1,6,4,2,8,2.9149837,0,0,2012-02-26
394,395,28.0,0,0,4,2,9,2.9149837,0,0,2012-02-27
395,396,22.0,0,1,4,2,9,2.9149837,0,0,2012-02-28
396,397,29.0,0,2,5,2,9,2.9149837,0,1,2012-02-29
397,398,39.0,0,3,1,3,9,2.9149837,2,0,2012-03-01
398,399,24.0,0,4,1,3,9,2.9149837,2,0,2012-03-02
399,400,32.0,1,5,1,3,9,2.9149837,3,0,2012-03-03
